Саратов п. Зональный ул. Абрикосовая д. 1,1976,51.587315,46.110074
Саратов п. Зональный ул. Абрикосовая д. 2,1980,51.587942,46.11038
Саратов п. Зональный ул. Абрикосовая д. 5,1955,51.588048,46.109383
Саратов п. Зональный ул. Зональная д. 9Б,1979,51.589486,46.102421
Саратов п. Зональный ул. Молодежная д. 1,1977,51.585357,46.109401
Саратов п. Зональный ул. Молодежная д. 5,1980,51.585804,46.110056
Саратов п. Зональный ул. Молодежная д. 7,1960,51.586134,46.110263
Саратов п. Зональный ул. Молодежная д. 29,1979,51.591713,46.115078
Саратов мкр. Калашниково д. 1,1978,51.531528,46.03582
Саратов мкр. Калашниково д. 2,1979,51.531528,46.03582
Саратов мкр. Калашниково д. 3,1983,51.531528,46.03582
Саратов мкр. Калашниково д. 4,1979,51.531528,46.03582
Саратов мкр. Калашниково д. 5,1994,51.531528,46.03582
Саратов мкр. Калашниково д. 6,1962,51.531528,46.03582
Саратов мкр. Калашниково д. 8,1989,51.531528,46.03582
Саратов мкр. Калашниково д. 12,1987,51.531528,46.03582
Саратов мкр. Калашниково д. 13,1989,51.531528,46.03582
Саратов мкр. Калашниково д. 14,1979,51.531528,46.03582
Саратов мкр. Калашниково д. 15,1987,51.531528,46.03582
Саратов п. Комбайн д. 1,1954,51.531528,46.03582
Саратов п. Комбайн д. 2,1954,51.531528,46.03582
Саратов п. Комбайн д. 3,1974,51.531528,46.03582
Саратов п. Комбайн д. 4,1958,51.531528,46.03582
Саратов п. Комбайн д. 5,1961,51.531528,46.03582
Саратов п. Комбайн д. 6,1954,51.531528,46.03582
Саратов п. Комбайн д. 7,1958,51.531528,46.03582
Саратов п. Комбайн д. 8,1949,51.531528,46.03582
Саратов п. Комбайн д. 9,1949,51.531528,46.03582
Саратов п. Комбайн д. 10,1954,51.531528,46.03582
Саратов п. Комбайн д. 11,1954,51.531528,46.03582
Саратов п. Комбайн д. 12,1954,51.531528,46.03582
Саратов п. Комбайн д. 13,1955,51.531528,46.03582
Саратов п. Комбайн д. 15,1955,51.531528,46.03582
Саратов п. Комбайн д. 16,1955,51.531528,46.03582
Саратов п. Комбайн д. 18,1955,51.531528,46.03582
Саратов п. Комбайн д. 19,1955,51.531528,46.03582
Саратов п. Комбайн д. 20,1958,51.531528,46.03582
Саратов п. Комбайн д. 21,1960,51.531528,46.03582
Саратов п. Комбайн д. 22,1959,51.531528,46.03582
Саратов п. Комбайн д. 25,1959,51.531528,46.03582
Саратов п. Комбайн д. 26,1969,51.531528,46.03582
Саратов п. Комбайн д. 27,1961,51.531528,46.03582
Саратов п. Комбайн д. 28,1969,51.531528,46.03582
Саратов п. Комбайн д. 29,1971,51.531528,46.03582
Саратов п. Комбайн д. 30,1969,51.531528,46.03582
Саратов п. Комбайн д. 31,1954,51.531528,46.03582
Саратов п. Комбайн д. 32,1974,51.531528,46.03582
Саратов п. Комбайн д. 33,1987,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 1,1962,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 2,1960,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 3,1972,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 4,1959,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 6,1969,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 7,1964,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 8,1964,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 9а,1973,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 10а,1973,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 11,1977,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 12,1978,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 13,1978,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 14,1987,51.531528,46.03582
Саратов мкр. ОПХ Саратовское д. 15,1972,51.531528,46.03582
Саратов п. Первомайский линия. 9-я д. 4/12,1997,51.521526,45.992162
Саратов кв-л. 22-й д. 1,1954,51.417698,46.042126
Саратов кв-л. 22-й д. 2,1954,51.417698,46.042126
